oracle_set,talisman_number,start_line,end_line,source_type,license_status,review_status
guandi_lingqian_100,029,1225,1264,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,030,1265,1305,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,031,1306,1346,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,032,1347,1392,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,033,1393,1438,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,034,1439,1481,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,035,1482,1521,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,036,1522,1562,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,037,1563,1598,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,038,1599,1643,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,039,1644,1682,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,040,1683,1722,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,041,1723,1759,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,042,1760,1810,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,043,1811,1851,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,044,1852,1892,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,045,1893,1935,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,046,1936,1984,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,047,1985,2023,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,048,2024,2074,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,049,2075,2108,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,050,2109,2151,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,051,2152,2199,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,052,2200,2250,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,053,2251,2287,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,054,2288,2326,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,055,2327,2366,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,056,2367,2414,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,057,2415,2467,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,058,2468,2514,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,059,2515,2569,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,060,2570,2612,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,061,2613,2650,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,062,2651,2681,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,063,2682,2732,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,064,2733,2774,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,065,2775,2829,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,066,2830,2881,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,067,2882,2924,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,068,2925,2972,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,069,2973,3025,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,070,3026,3078,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,071,3079,3134,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,072,3135,3183,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,073,3184,3222,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,074,3223,3260,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,075,3261,3319,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,076,3320,3368,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,077,3369,3412,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,078,3413,3456,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,079,3457,3500,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,080,3501,3544,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,081,3545,3577,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,082,3578,3617,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,083,3618,3662,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,084,3663,3705,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,085,3706,3757,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,086,3758,3805,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,087,3806,3847,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,088,3848,3889,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,089,3890,3933,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,090,3934,3977,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,091,3978,4019,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,092,4020,4053,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,093,4054,4095,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,094,4096,4136,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,095,4137,4192,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,096,4193,4245,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,097,4246,4295,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,098,4296,4333,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,099,4334,4379,ai_generated_or_summarized,unsure,quarantine_do_not_import
guandi_lingqian_100,100,4380,4422,ai_generated_or_summarized,unsure,quarantine_do_not_import
